,word,dist
208,You,0.024615384615384615
209,left,0.02448160535117057
210,us,0.024080267558528427
211,oh,0.02394648829431438
212,drink,0.02394648829431438
213,her,0.023812709030100333
214,idea,0.023812709030100333
215,give,0.02354515050167224
216,drinking,0.02354515050167224
217,cool,0.023411371237458192
218,Charlie,0.023411371237458192
219,Or,0.023411371237458192
220,text,0.02327759197324415
221,probably,0.0231438127090301
222,Hahah,0.022876254180602008
223,two,0.02274247491638796
224,:,0.022608695652173914
225,blackout,0.022474916387959867
226,The,0.022474916387959867
227,trying,0.022207357859531773
228,Come,0.022073578595317726
229,drunk,0.022073578595317726
230,sorry,0.02180602006688963
231,room,0.021538461538461538
232,already,0.02140468227424749
233,btw,0.021137123745819397
234,ca,0.02100334448160535
235,let,0.02100334448160535
236,into,0.02073578595317726
